	feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final
3995	1394	317	Shikimates and Phenylpropanoids	0.3333333333333333	Phenylpropanoids (C6-C3)	0.3333333333333333	Cinnamic acids and derivatives	0.3333333333333333	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q417527	PCMORTLOPMLEFB-ONEGZZNKSA-N	InChI=1S/C11H12O5/c1-15-8-5-7(3-4-10(12)13)6-9(16-2)11(8)14/h3-6,14H,1-2H3,(H,12,13)/b4-3+	COc1cc(/C=C/C(=O)O)cc(OC)c1O	C11H12O5	pos_1_1proton1acetonitrile	224.068473484	Sinapic acid	PCMORTLOPMLEFB	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	http://www.wikidata.org/entity/Q3919027	Mangifera indica	807634.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	['Unknown']	['Mangifera']	['Mangifera indica']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']				6	3	7.5	1
3996	1391	-1							1.0	0.25479305	ISDB	http://www.wikidata.org/entity/Q105189059	OBLUCMMNMFITHB-YVKLJGNCSA-N	InChI=1S/C27H44O9/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(30)34-19-21(29)20-35-27-26(33)25(32)24(31)22(18-28)36-27/h3-4,6-7,9-10,12-13,21-22,24-29,31-33H,2,5,8,11,14-20H2,1H3/b4-3-,7-6-,10-9-,13-12-/t21-,22+,24-,25-,26+,27+/m0/s1	CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@H](O)CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O	C27H44O9		512.298532988	[(2R)-2-hydroxy-3-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropyl] (6Z,9Z,12Z,15Z)-octadeca-6,9,12,15-tetraenoate	OBLUCMMNMFITHB	Fatty acids	Glycerolipids		http://www.wikidata.org/entity/Q28017	Raphanus raphanistrum	376999.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Brassiceae']	['Raphanus']	['Raphanus raphanistrum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	0	5.019172191619873	1
3998	1387	-1							1.0	0.34325325	ISDB	http://www.wikidata.org/entity/Q105211405	PMDCKDXMRHEFLJ-YJRNTSOCSA-N	InChI=1S/C27H44O8/c1-7-9-10-11-12-13-14-15-23(28)35-24-21(33-25(29)18(3)4)16-20(27(31)32-6)17-22(24)34-26(30)19(5)8-2/h17-19,21-22,24H,7-16H2,1-6H3/t19-,21-,22-,24+/m1/s1	CCCCCCCCCC(=O)O[C@@H]1[C@H](OC(=O)[C@H](C)CC)C=C(C(=O)OC)C[C@H]1OC(=O)C(C)C	C27H44O8		496.303618368	methyl (3R,4S,5R)-4-decanoyloxy-3-[(2R)-2-methylbutanoyl]oxy-5-(2-methylpropanoyloxy)cyclohexene-1-carboxylate	PMDCKDXMRHEFLJ	Terpenoids			http://www.wikidata.org/entity/Q2270863	Senecio lividus	962482.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Senecioneae']	['Senecio']	['Senecio lividus']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	0	5.373013019561768	1
3999	1383	241	Terpenoids	1.0	Apocarotenoids	1.0	Apocarotenoids(ε-)	1.0	3.0	0.5690525	ISDB	http://www.wikidata.org/entity/Q105161592	MDCGEAGEQVMWPE-SXGMEYSMSA-N	InChI=1S/C13H20O2/c1-9-7-11(15)8-13(3,4)12(9)6-5-10(2)14/h5-7,10,12,14H,8H2,1-4H3/b6-5+/t10-,12+/m1/s1	CC1=CC(=O)CC(C)(C)[C@H]1/C=C/[C@@H](C)O	C13H20O2		208.14632988	(+)-3-Oxo-alpha-ionol	MDCGEAGEQVMWPE	Terpenoids	Apocarotenoids	Apocarotenoids(ε-)	http://www.wikidata.org/entity/Q3919027	Mangifera indica	807634.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	['Unknown']	['Mangifera']	['Mangifera indica']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']				6	3	9.776209831237793	1
4005	1379	206	Carbohydrates	0.16666666666666666	Aminosugars and aminoglycosides	0.16666666666666666	Aminosugars	0.16666666666666666	6.0	0.31993628	ISDB	http://www.wikidata.org/entity/Q105027778	HGIRIKHYYMPDAG-IZMYCKBJSA-N	InChI=1S/C15H19NOS/c1-13(2)12-16-15(17)10-6-4-3-5-8-14-9-7-11-18-14/h3-11,13H,12H2,1-2H3,(H,16,17)/b4-3+,8-5+,10-6+	CC(C)CNC(=O)/C=C/C=C/C=C/c1cccs1	C15H19NOS		261.118735228	(2E,4E,6E)-N-Isobutyl-7-(2-thienyl)-2,4,6-heptatrienamide	HGIRIKHYYMPDAG				http://www.wikidata.org/entity/Q10260538	Otanthus maritimus	195139.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Anthemideae']	['Otanthus']	['Otanthus maritimus']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	0	5.279745101928711	1
4006	1376	-1							1.0	0.2019609	ISDB	http://www.wikidata.org/entity/Q105379958	ZNCUKAYDXAEZCT-QYUGGCOGSA-N	InChI=1S/C33H42O9/c1-9-17(2)29(38)41-28-26(37)27-30(4,5)42-24(36)15-23(40-18(3)34)33(27,8)21-10-12-31(6)22(32(21,28)7)14-20(35)25(31)19-11-13-39-16-19/h9,11,13-14,16,21,23,25-28,37H,10,12,15H2,1-8H3/b17-9-/t21-,23-,25+,26+,27-,28+,31+,32+,33-/m0/s1	C/C=C(/C)C(=O)O[C@@H]1[C@H](O)[C@H]2C(C)(C)OC(=O)C[C@H](OC(C)=O)[C@]2(C)[C@H]2CC[C@]3(C)C(=CC(=O)[C@H]3c3ccoc3)[C@]12C	C33H42O9		582.282882924	Quivisianthone	ZNCUKAYDXAEZCT	Terpenoids	Triterpenoids	Limonoids	http://www.wikidata.org/entity/Q15546075	Quivisianthe papinae	508220.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Meliaceae']	['Unknown']	['Quivisianthe']	['Quivisianthe papinae']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']					5	0	5.8078436851501465	1
4010	1373	153	Shikimates and Phenylpropanoids	0.3333333333333333	Phenylpropanoids (C6-C3)	0.3333333333333333	Cinnamic acids and derivatives	0.3333333333333333	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q417527	PCMORTLOPMLEFB-ONEGZZNKSA-N	InChI=1S/C11H12O5/c1-15-8-5-7(3-4-10(12)13)6-9(16-2)11(8)14/h3-6,14H,1-2H3,(H,12,13)/b4-3+	COc1cc(/C=C/C(=O)O)cc(OC)c1O	C11H12O5	pos_1_1proton1acetonitrile	224.068473484	Sinapic acid	PCMORTLOPMLEFB	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	http://www.wikidata.org/entity/Q3919027	Mangifera indica	807634.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	['Unknown']	['Mangifera']	['Mangifera indica']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']				6	3	7.5	1
4011	1367	31	Terpenoids	0.8888888888888888	Apocarotenoids	0.7407407407407407	Apocarotenoids (β-)	0.6666666666666666	28.0	0.446659	ISDB	http://www.wikidata.org/entity/Q110204290	BGKCUGPVLVNPSG-UHFFFAOYSA-N	InChI=1S/C14H22O/c1-10-6-7-11(2)14(4,5)13(10)9-8-12(3)15/h8-9,11H,6-7H2,1-5H3	CC(=O)C=CC1=C(C)CCC(C)C1(C)C	C14H22O		206.16706532400002	3-Buten-2-one, 4-(2,5,6,6-tetramethyl-1(or 2)-cyclohexen-1-yl)-	BGKCUGPVLVNPSG	Terpenoids	Apocarotenoids	Apocarotenoids (β-)	http://www.wikidata.org/entity/Q3919027	Mangifera indica	807634.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	['Unknown']	['Mangifera']	['Mangifera indica']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']				6	3	9.286635875701904	1
4013	1365	176	Fatty acids	0.7049180327868853	Diterpenoids	0.7377049180327869	Catechols with side chains	0.4262295081967213	2.0	0.7485815	ISDB	http://www.wikidata.org/entity/Q27164838	AHANXAKGNAKFSK-UHFFFAOYSA-N	InChI=1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h3-4,6-7,9-10H,2,5,8,11-19H2,1H3,(H,21,22)	CCC=CCC=CCC=CCCCCCCCCCC(=O)O	C20H34O2		306.255880328	Eicosa-11,14,17-trienoic acid	AHANXAKGNAKFSK	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	http://www.wikidata.org/entity/Q165137	Prunus avium	162547.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Rosales']	['Rosaceae']	['Amygdaleae']	['Prunus']	['Prunus avium']											0	1	3.494326114654541	1
4017	1364	-1							2.0	0.49710375	ISDB	http://www.wikidata.org/entity/Q115948666	GKBLNJXQDMHILB-ZHACJKMWSA-N	InChI=1S/C18H32O5/c1-2-14-15(17(21)12-16(14)20)11-10-13(19)8-6-4-3-5-7-9-18(22)23/h10-11,13-17,19-21H,2-9,12H2,1H3,(H,22,23)/b11-10+	CCC1C(O)CC(O)C1/C=C/C(O)CCCCCCCC(=O)O	C18H32O5		328.224974124	(E)-11-(2-ethyl-3,5-dihydroxycyclopentyl)-9-hydroxyundec-10-enoic acid	GKBLNJXQDMHILB	Fatty acids	Octadecanoids	Phytoprostanes	http://www.wikidata.org/entity/Q30046	Vitis vinifera	756728.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Vitales']	['Vitaceae']	['Viteae']	['Vitis']	['Vitis vinifera']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	0	5.988414764404297	1
