	feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final
0	4913	31	Terpenoids	0.8888888888888888	Apocarotenoids	0.7407407407407407	Apocarotenoids (β-)	0.6666666666666666	2.0	0.38178465	ISDB	http://www.wikidata.org/entity/Q105368791	YYNVBNQMBDXSDX-ZVTXLDGASA-N	InChI=1S/C25H42O12/c1-11-7-13(27)8-25(3,4)14(11)6-5-12(2)35-24-22(33)20(31)18(29)16(37-24)10-34-23-21(32)19(30)17(28)15(9-26)36-23/h7,12,14-24,26,28-33H,5-6,8-10H2,1-4H3/t12-,14+,15-,16-,17-,18-,19+,20+,21-,22-,23-,24-/m1/s1	CC1=CC(=O)CC(C)(C)[C@H]1CC[C@@H](C)O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O	C25H42O12		534.2676267840001	(4R)-3,5,5-trimethyl-4-[(3R)-3-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxybutyl]cyclohex-2-en-1-one	YYNVBNQMBDXSDX	Terpenoids	Apocarotenoids	Apocarotenoids(ε-)	http://www.wikidata.org/entity/Q161155	Ornithogalum umbellatum	12152.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asparagales']	['Hyacinthaceae']	['Unknown']	['Ornithogalum']	['Ornithogalum umbellatum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	2	6.527138710021973	1
1	4911	15	Terpenoids	0.5	Apocarotenoids	0.5	Megastigmanes	0.5	1.0	0.34619182	ISDB	http://www.wikidata.org/entity/Q105278330	USMQLSYNCFOLAA-NYENGJLOSA-N	InChI=1S/C26H34O11/c1-12-7-15(27)10-26(3,4)16(12)6-5-13(2)36-25-23(33)22(32)21(31)19(37-25)11-35-24(34)14-8-17(28)20(30)18(29)9-14/h5-9,13,16,19,21-23,25,28-33H,10-11H2,1-4H3/b6-5+/t13-,16+,19-,21-,22+,23-,25-/m1/s1	CC1=CC(=O)CC(C)(C)[C@H]1/C=C/[C@@H](C)O[C@@H]1O[C@H](COC(=O)c2cc(O)c(O)c(O)c2)[C@@H](O)[C@H](O)[C@H]1O	C26H34O11		522.2101119079998	(4R)-4-[(3R)-3-(6-O-Galloyl-beta-D-glucopyranosyloxy)-1-butenyl]3,5,5-trimethyl-2-cyclohexene-1-one	USMQLSYNCFOLAA	Terpenoids	Apocarotenoids	Megastigmanes	http://www.wikidata.org/entity/Q3020630	Macaranga tanarius	573156.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Euphorbiaceae']	['Acalypheae']	['Macaranga']	['Macaranga tanarius']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	3	6.884767532348633	1
2	4906	-1							2.0	0.5876217	ISDB	http://www.wikidata.org/entity/Q104988085	DSXFEBWYDMBLBH-BITCUVMXSA-N	InChI=1S/C13H18O3/c1-7-5-11(14)13(15)10-4-8(2)12(16-3)6-9(7)10/h4,6-7,11,13-15H,5H2,1-3H3/t7-,11+,13-/m1/s1	COc1cc2c(cc1C)[C@@H](O)[C@@H](O)C[C@H]2C	C13H18O3		222.12559443599997	Aristelegone D	DSXFEBWYDMBLBH	Terpenoids			http://www.wikidata.org/entity/Q1891719	Aristolochia elegans	80342.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Piperales']	['Aristolochiaceae']	['Unknown']	['Aristolochia']	['Aristolochia elegans']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	0	6.350486755371094	1
4	4905	-1							1.0	0.36867633	ISDB	http://www.wikidata.org/entity/Q104937578	BKHFTVFNYNKPGW-GRBQAUPASA-N	InChI=1S/C15H22Br2O4/c1-2-10(17)13-7-11(18)12(19)8-15-14(21-13)6-9(20-15)4-3-5-16/h4-5,9-15,18-19H,2,6-8H2,1H3/t3?,9-,10-,11+,12-,13-,14-,15-/m1/s1	CC[C@@H](Br)[C@H]1C[C@H](O)[C@H](O)C[C@H]2O[C@H](C=C=CBr)C[C@H]2O1	C15H22Br2O4		423.9884833840001	Laurendecumallene B	BKHFTVFNYNKPGW	Polyketides			http://www.wikidata.org/entity/Q42550488	Laurencia decumbens	818370.0	['Eukaryota']	['Archaeplastida']	['Rhodophyta']	['Florideophycidae']	['Unknown']	['Unknown']	['Unknown']	['Laurencia']	['Laurencia decumbens']		['Eukaryota']	['Archaeplastida']								2	0	3.474705219268799	1
5	4904	163	Shikimates and Phenylpropanoids	1.0	Coumarins	0.8	Flavans	0.8	5.0	0.7718923	ISDB	http://www.wikidata.org/entity/Q27105592	YXMLGIGHGPSEKA-AWEZNQCLSA-N	InChI=1S/C15H14O3/c16-12-5-1-10(2-6-12)14-8-4-11-3-7-13(17)9-15(11)18-14/h1-3,5-7,9,14,16-17H,4,8H2/t14-/m0/s1	Oc1ccc([C@@H]2CCc3ccc(O)cc3O2)cc1	C15H14O3		242.094294308	7,4'-Dihydroxyflavan	YXMLGIGHGPSEKA	Shikimates and Phenylpropanoids	Flavonoids	Flavans	http://www.wikidata.org/entity/Q15525344	Soymida febrifuga	5747871.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Meliaceae']	['Unknown']	['Soymida']	['Soymida febrifuga']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']					5	3	9.587569236755371	1
6	4903	746	Terpenoids	0.5	Apocarotenoids	0.5	Megastigmanes	0.5	1.0	0.49540278	ISDB	http://www.wikidata.org/entity/Q105280577	UWVPTDQDFQAEIW-OIDWXNETSA-N	InChI=1S/C19H30O8/c1-10(21)5-6-19-17(2,3)7-11(26-19)8-18(19,4)27-16-15(24)14(23)13(22)12(9-20)25-16/h5-6,11-16,20,22-24H,7-9H2,1-4H3/b6-5+/t11-,12+,13+,14-,15+,16-,18+,19+/m0/s1	CC(=O)/C=C/[C@@]12O[C@@H](CC1(C)C)C[C@@]2(C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	C19H30O8		386.19406791999984	(E)-4-[(1R,4S,6R)-2,2,6-trimethyl-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-7-oxabicyclo[2.2.1]heptan-1-yl]but-3-en-2-one	UWVPTDQDFQAEIW	Terpenoids	Apocarotenoids	Megastigmanes	http://www.wikidata.org/entity/Q17139682	Miliusa balansae	3867490.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Magnoliales']	['Annonaceae']	['Miliuseae']	['Miliusa']	['Miliusa balansae']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	3	7.481611251831055	1
7	4899	176	Fatty acids	0.7049180327868853	Diterpenoids	0.7377049180327869	Catechols with side chains	0.4262295081967213	2.0	0.48683423	ISDB	http://www.wikidata.org/entity/Q105034010	HUSISCNTLUEZCN-JWRMENJJSA-N	InChI=1S/C27H46O9/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(30)34-19-21(29)20-35-27-26(33)25(32)24(31)22(18-28)36-27/h3-4,6-7,9-10,21-22,24-29,31-33H,2,5,8,11-20H2,1H3/b4-3+,7-6+,10-9-/t21-,22+,24-,25-,26+,27+/m0/s1	CC/C=C/C/C=C/C/C=C\CCCCCCCC(=O)OC[C@H](O)CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O	C27H46O9		514.3141830519999	[(2R)-2-hydroxy-3-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropyl] (9Z,12E,15E)-octadeca-9,12,15-trienoate	HUSISCNTLUEZCN	Fatty acids	Glycerolipids	Glycosylmonoacylglycerols	http://www.wikidata.org/entity/Q7937107	Vitis heyneana	568884.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Vitales']	['Vitaceae']	['Viteae']	['Vitis']	['Vitis heyneana']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	1	6.4473371505737305	1
18	4897	15	Terpenoids	0.5	Apocarotenoids	0.5	Megastigmanes	0.5	1.0	0.38518623	ISDB	http://www.wikidata.org/entity/Q105278330	USMQLSYNCFOLAA-NYENGJLOSA-N	InChI=1S/C26H34O11/c1-12-7-15(27)10-26(3,4)16(12)6-5-13(2)36-25-23(33)22(32)21(31)19(37-25)11-35-24(34)14-8-17(28)20(30)18(29)9-14/h5-9,13,16,19,21-23,25,28-33H,10-11H2,1-4H3/b6-5+/t13-,16+,19-,21-,22+,23-,25-/m1/s1	CC1=CC(=O)CC(C)(C)[C@H]1/C=C/[C@@H](C)O[C@@H]1O[C@H](COC(=O)c2cc(O)c(O)c(O)c2)[C@@H](O)[C@H](O)[C@H]1O	C26H34O11		522.2101119079998	(4R)-4-[(3R)-3-(6-O-Galloyl-beta-D-glucopyranosyloxy)-1-butenyl]3,5,5-trimethyl-2-cyclohexene-1-one	USMQLSYNCFOLAA	Terpenoids	Apocarotenoids	Megastigmanes	http://www.wikidata.org/entity/Q3020630	Macaranga tanarius	573156.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Euphorbiaceae']	['Acalypheae']	['Macaranga']	['Macaranga tanarius']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	3	7.040744781494141	1
35	4884	38	Terpenoids	1.0	Sesquiterpenoids	1.0	Guaiane sesquiterpenoids	1.0	1.0	0.40304452	ISDB	http://www.wikidata.org/entity/Q105347076	YDWPOGNXQRGSLE-KBRXKUPHSA-N	InChI=1S/C15H18O6/c1-7(16)6-10(18)11-8(2)14(19)21-13(11)12-9(17)4-5-15(12,3)20/h4-5,10-13,18,20H,2,6H2,1,3H3/t10-,11+,12-,13-,15-/m0/s1	C=C1C(=O)O[C@H]([C@@H]2C(=O)C=C[C@]2(C)O)[C@H]1[C@@H](O)CC(C)=O	C15H18O6		294.110338296	(4R,5S)-5-[(1S,2S)-2-hydroxy-2-methyl-5-oxocyclopent-3-en-1-yl]-4-[(1S)-1-hydroxy-3-oxobutyl]-3-methylideneoxolan-2-one	YDWPOGNXQRGSLE	Terpenoids	Sesquiterpenoids	Guaiane sesquiterpenoids	http://www.wikidata.org/entity/Q2716821	Artemisia ludoviciana	202533.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Anthemideae']	['Artemisia']	['Artemisia ludoviciana']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	3	7.112177848815918	1
36	4882	792	Polyketides	0.5	Phloroglucinols	0.5	Acyl phloroglucinols	0.5	2.0	0.83513564	ISDB	http://www.wikidata.org/entity/Q104667210	WXTPOHDTGNYFSB-RMPHRYRLSA-N	InChI=1S/C12H16O8/c13-4-8-9(16)10(17)11(18)12(20-8)19-7-2-5(14)1-6(15)3-7/h1-3,8-18H,4H2/t8-,9-,10+,11-,12-/m1/s1	OC[C@H]1O[C@@H](Oc2cc(O)cc(O)c2)[C@H](O)[C@@H](O)[C@@H]1O	C12H16O8		288.084517472	(2S,3R,4S,5S,6R)-2-(3,5-dihydroxyphenoxy)-6-(hydroxymethyl)oxane-3,4,5-triol	WXTPOHDTGNYFSB	Polyketides	Phloroglucinols	Acyl phloroglucinols	http://www.wikidata.org/entity/Q80024	Citrus maxima	838646.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Rutaceae']	['Unknown']	['Citrus']	['Citrus maxima']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']					5	3	9.840542793273926	1
42	4875	41	Terpenoids	0.5901639344262295	Aromatic polyketides	0.32786885245901637	Catechols with side chains	0.2786885245901639	19.0	0.21567428	ISDB	http://www.wikidata.org/entity/Q105190970	OFFQPVDOVYHTBX-UHFFFAOYSA-N	InChI=1S/C24H36O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-18-21-19-17-20-22(25)23(21)24(26)27/h6-7,9-10,17,19-20,25H,2-5,8,11-16,18H2,1H3,(H,26,27)	CCCCCC=CCC=CCCCCCCCc1cccc(O)c1C(=O)O	C24H36O3		372.26644501199996	Ginkgolic acid C17:2	OFFQPVDOVYHTBX	Polyketides	Aromatic polyketides	Catechols with side chains	http://www.wikidata.org/entity/Q794969	Spondias mombin	317612.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	['Unknown']	['Spondias']	['Spondias mombin']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']				6	3	8.362697124481201	1
43	4873	51	Polyketides	0.3709677419354839	Phloroglucinols	0.3387096774193548	Acyl phloroglucinols	0.3387096774193548	1.0	0.47859487	ISDB	http://www.wikidata.org/entity/Q105273614	UIUWVSZTXJBSIQ-KFYGIHQCSA-N	InChI=1S/C26H22O13/c27-8-17-21(33)25(39-26(36)9-1-3-10(28)4-2-9)23(35)24(38-17)18-14(31)7-16-19(22(18)34)20(32)11-5-12(29)13(30)6-15(11)37-16/h1-7,17,21,23-25,27-31,33-35H,8H2/t17-,21-,23+,24+,25+/m1/s1	O=C(O[C@@H]1[C@@H](O)[C@H](c2c(O)cc3oc4cc(O)c(O)cc4c(=O)c3c2O)O[C@H](CO)[C@H]1O)c1ccc(O)cc1	C26H22O13		542.106040764	2,3,6,8-Tetrahydroxy-7-[3-O-(4-hydroxybenzoyl)-beta-D-glucopyranosyl]-9H-xanthene-9-one	UIUWVSZTXJBSIQ	Shikimates and Phenylpropanoids	Xanthones	Plant xanthones	http://www.wikidata.org/entity/Q15548032	Fridericia patellifera	420411.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Lamiales']	['Bignoniaceae']	['Bignonieae']	['Fridericia']	['Fridericia patellifera']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	0	5.914379596710205	1
44	4871	-1							5.0	0.2452409	ISDB	http://www.wikidata.org/entity/Q104914603	AMFTWHJHJNACRE-PCNYODNHSA-N	InChI=1S/C20H22O7/c1-5-12(9-21)19(24)25-14-6-10(2)13-7-16(22)20(4,27-13)8-15-17(14)11(3)18(23)26-15/h5-7,14-15,17,21H,3,8-9H2,1-2,4H3/b10-6-,12-5+/t14-,15+,17+,20-/m1/s1	C=C1C(=O)O[C@H]2C[C@@]3(C)OC(=CC3=O)/C(C)=C\[C@@H](OC(=O)/C(=C/C)CO)[C@H]12	C20H22O7		374.13655304400004	[(1R,3S,7R,8R,9Z)-1,10-dimethyl-6-methylidene-5,13-dioxo-4,14-dioxatricyclo[9.2.1.03,7]tetradeca-9,11-dien-8-yl] (E)-2-(hydroxymethyl)but-2-enoate	AMFTWHJHJNACRE	Terpenoids	Sesquiterpenoids	Germacrane sesquiterpenoids	http://www.wikidata.org/entity/Q15590283	Eremanthus glomerulatus	5794936.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Vernonieae']	['Eremanthus']	['Eremanthus glomerulatus']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	0	4.980963706970215	1
46	4867	20	Fatty acids	0.75	Fatty esters	0.5	Wax monoesters	0.5	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q27103186	QYDYPVFESGNLHU-KHPPLWFESA-N	InChI=1S/C19H36O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21-2/h10-11H,3-9,12-18H2,1-2H3/b11-10-	CCCCCCCC/C=C\CCCCCCCC(=O)OC	C19H36O2	pos_1_1proton1ethylamine	296.271530392	Methyl oleate	QYDYPVFESGNLHU	Fatty acids	Fatty esters	Wax monoesters	http://www.wikidata.org/entity/Q3919027	Mangifera indica	807634.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	['Unknown']	['Mangifera']	['Mangifera indica']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']		['Mangifera']	['Mangifera indica']	8	3	9.5	1
47	4865	-1							3.0	0.33087772	ISDB	http://www.wikidata.org/entity/Q105379726	ZMUBBDGDFMAIMP-UHFFFAOYSA-N	InChI=1S/C21H38O4/c1-4-5-6-7-10-13-16-20(24-2)18-19(22)15-12-9-8-11-14-17-21(23)25-3/h18H,4-17H2,1-3H3	CCCCCCCCC(=CC(=O)CCCCCCCC(=O)OC)OC	C21H38O4		354.277009696	Methyl 11-methoxy-9-oxononadec-10-enoate	ZMUBBDGDFMAIMP	Fatty acids	Fatty esters	Wax monoesters	http://www.wikidata.org/entity/Q159534	Hibiscus rosa-sinensis	378513.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malvales']	['Malvaceae']	['Unknown']	['Hibiscus']	['Hibiscus rosa-sinensis']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	0	5.323511123657227	1
61	4859	-1							28.0	0.29386133	ISDB	http://www.wikidata.org/entity/Q22911785	KPQMCAKZRXOZLB-KOIHBYQTSA-N	InChI=1S/C13H20O3/c1-9-7-11(15)8-12(3,4)13(9,16)6-5-10(2)14/h5-7,10,14,16H,8H2,1-4H3/b6-5+/t10-,13-/m1/s1	CC1=CC(=O)CC(C)(C)[C@@]1(O)/C=C/[C@@H](C)O	C13H20O3		224.14124449999997	Vomifoliol	KPQMCAKZRXOZLB	Terpenoids	Apocarotenoids	Apocarotenoids(ε-)	http://www.wikidata.org/entity/Q3919027	Mangifera indica	807634.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	['Unknown']	['Mangifera']	['Mangifera indica']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']				6	0	7.175445556640625	1
62	4857	369	Alkaloids	0.75	Nicotinic acid alkaloids	0.75	Pyridine alkaloids	0.75	1.0	0.4594987	ISDB	http://www.wikidata.org/entity/Q105161828	MDLTWTOQCHCLSZ-UHFFFAOYSA-N	InChI=1S/C14H21NO8/c1-6-10(18)8(3-16)7(2-15-6)5-22-14-13(21)12(20)11(19)9(4-17)23-14/h2,9,11-14,16-21H,3-5H2,1H3	Cc1ncc(COC2OC(CO)C(O)C(O)C2O)c(CO)c1O	C14H21NO8		331.126716632	Pyridoxine + O-Hex	MDLTWTOQCHCLSZ	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids	http://www.wikidata.org/entity/Q25237	Pisum sativum	359905.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Fabeae']	['Pisum']	['Pisum sativum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	3	7.337994575500488	1
63	4856	38	Terpenoids	1.0	Sesquiterpenoids	1.0	Guaiane sesquiterpenoids	1.0	3.0	0.28271285	ISDB	http://www.wikidata.org/entity/Q105005473	GAMKIMZLPVTBDV-XBZKDHOBSA-N	InChI=1S/C16H20O6/c1-6-5-8(17)10-7(2)15(20)22-13(10)11-9(6)12(18)14(19)16(11,3)21-4/h8,10-13,17-18H,2,5H2,1,3-4H3/t8-,10+,11-,12+,13-,16+/m0/s1	C=C1C(=O)O[C@H]2[C@H]1[C@@H](O)CC(C)=C1[C@@H](O)C(=O)[C@](C)(OC)[C@@H]12	C16H20O6		308.12598836	(3aR,4S,7R,9R,9aS,9bS)-4,7-dihydroxy-9-methoxy-6,9-dimethyl-3-methylidene-3a,4,5,7,9a,9b-hexahydroazuleno[4,5-b]furan-2,8-dione	GAMKIMZLPVTBDV	Terpenoids	Sesquiterpenoids	Guaiane sesquiterpenoids	http://www.wikidata.org/entity/Q11083626	Ajania fastigiata	729288.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Anthemideae']	['Ajania']	['Ajania fastigiata']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	3	6.6308512687683105	1
65	4854	5	Fatty acids	0.2413793103448276	Fatty Acids and Conjugates	0.16091954022988506	Dicarboxylic acids	0.11494252873563218	1.0	0.88044935	ISDB	http://www.wikidata.org/entity/Q181619	ZDXPYRJPNDTMRX-VKHMYHEASA-N	InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1	NC(=O)CC[C@H](N)C(=O)O	C5H10N2O3		146.06914218	(2S)-5-amino-2-ammonio-5-oxopentanoate	ZDXPYRJPNDTMRX	Amino acids and Peptides	Small peptides	Aminoacids	http://www.wikidata.org/entity/Q22699	Castanea sativa	1028994.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fagales']	['Fagaceae']	['Unknown']	['Castanea']	['Castanea sativa']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	0	7.521797180175781	1
100	4852	342							1.0	0.43045202	ISDB									TZPDUFZGRJEOSE							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	1.7218080759048462	1
101	4851	74	Fatty acids	0.5	Glycerophospholipids	0.375	Glycerophosphoethanolamines	0.1875	1.0	0.7207255	ISDB	http://www.wikidata.org/entity/Q115947206	CKPBBEOJHAPPBT-UHFFFAOYSA-N	InChI=1S/C21H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-21(24)29-20(18-23)19-28-30(25,26)27-17-16-22/h20,23H,2-19,22H2,1H3,(H,25,26)	CCCCCCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCCN	C21H44NO7P		453.2855393779999	Phosphatidylethanolamine lyso 16:0	CKPBBEOJHAPPBT	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	http://www.wikidata.org/entity/Q28367	Asparagus officinalis	748359.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asparagales']	['Asparagaceae']	['Unknown']	['Asparagus']	['Asparagus officinalis']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	3	8.382902145385742	1
102	4847	270	Shikimates and Phenylpropanoids	0.7692307692307693	Flavonoids	0.5384615384615384	Flavonols	0.38461538461538464	7.0	0.45041826	ISDB	http://www.wikidata.org/entity/Q104993296	FCRCFWJWAPNQHJ-YUZRNDJPSA-N	InChI=1S/C21H22O13/c1-31-20(30)10-3-2-9(6-11(10)22)33-21-18(28)17(27)16(26)14(34-21)7-32-19(29)8-4-12(23)15(25)13(24)5-8/h2-6,14,16-18,21-28H,7H2,1H3/t14-,16-,17+,18-,21-/m1/s1	COC(=O)c1ccc(O[C@@H]2O[C@H](COC(=O)c3cc(O)c(O)c(O)c3)[C@@H](O)[C@H](O)[C@H]2O)cc1O	C21H22O13		482.106040764	[(2R,3S,4S,5R,6S)-3,4,5-trihydroxy-6-(3-hydroxy-4-methoxycarbonylphenoxy)oxan-2-yl]methyl 3,4,5-trihydroxybenzoate	FCRCFWJWAPNQHJ	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)	Simple phenolic acids	http://www.wikidata.org/entity/Q161364	Acer rubrum	1039827.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Sapindaceae']	['Acereae']	['Acer']	['Acer rubrum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']					5	1	7.30167293548584	1
105	4842	314	Amino acids and Peptides	0.3333333333333333	Small peptides	0.3333333333333333	Dipeptides	0.3333333333333333	1.0	0.37310436	ISDB	http://www.wikidata.org/entity/Q27114709	FTTGAAZKBNZDCZ-LURJTMIESA-N	InChI=1S/C8H13NO5/c1-5(10)9-6(8(13)14)3-2-4-7(11)12/h6H,2-4H2,1H3,(H,9,10)(H,11,12)(H,13,14)/t6-/m0/s1	CC(=O)N[C@@H](CCCC(=O)O)C(=O)O	C8H13NO5		203.07937251599998	N2-Acetyl-L-aminoadipate	FTTGAAZKBNZDCZ	Amino acids and Peptides	Small peptides	Dipeptides	http://www.wikidata.org/entity/Q33244	Trypanosoma brucei	494245.0	['Eukaryota']	['Unknown']	['Unknown']	['Unknown']	['Kinetoplastea']	['Unknown']	['Unknown']	['Trypanosoma']	['Trypanosoma brucei']		['Eukaryota']									1	3	3.992417335510254	1
124	4820	-1							9.0	0.54331404	ISDB	http://www.wikidata.org/entity/Q5276417	IMKHDCBNRDRUEB-LLVKDONJSA-N	InChI=1S/C11H16O2/c1-10(2)5-4-6-11(3)8(10)7-9(12)13-11/h7H,4-6H2,1-3H3/t11-/m1/s1	CC1(C)CCC[C@@]2(C)OC(=O)C=C12	C11H16O2		180.115029752	Actinidiolide, dihydro-	IMKHDCBNRDRUEB	Terpenoids	Apocarotenoids	Apocarotenoids (β-)	http://www.wikidata.org/entity/Q3919027	Mangifera indica	807634.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	['Unknown']	['Mangifera']	['Mangifera indica']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']		['Mangifera']	['Mangifera indica']	8	0	10.173255920410156	1
