	feature_id	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class
955	3833	99.0	0.0	MS1_match	http://www.wikidata.org/entity/Q6813065	KWILGNNWGSNMPA-UHFFFAOYSA-N	InChI=1S/C10H10O3/c1-6-5-7-3-2-4-8(11)9(7)10(12)13-6/h2-4,6,11H,5H2,1H3	CC1Cc2cccc(O)c2C(=O)O1	C10H10O3	pos_2MH	178.06299418	Mellein	KWILGNNWGSNMPA	Shikimates and Phenylpropanoids	Coumarins	Isocoumarins	http://www.wikidata.org/entity/Q3919027	Mangifera indica	807634.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	['Unknown']	['Mangifera']	['Mangifera indica']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	nan	nan	nan	6	3	7.5	1	348	Shikimates and Phenylpropanoids	1.0	Coumarins	1.0	Isocoumarins	1.0
956	3834	30.0	0.3733118	ISDB	http://www.wikidata.org/entity/Q7124105	UILPJVPSNHJFIK-UHFFFAOYSA-N	InChI=1S/C9H10O3/c1-6(10)8-4-3-7(12-2)5-9(8)11/h3-5,11H,1-2H3	COc1ccc(C(C)=O)c(O)c1	C9H10O3	nan	166.06299418	Paeonol	UILPJVPSNHJFIK	Shikimates and Phenylpropanoids	nan	nan	http://www.wikidata.org/entity/Q15389244	Clausena anisata	907390.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Rutaceae']	['Unknown']	['Clausena']	['Clausena anisata']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	nan	nan	nan	nan	5	0	6.493247032165527	1	-1	nan	nan	nan	nan	nan	nan
957	3835	2.0	0.79398036	ISDB	http://www.wikidata.org/entity/Q72483777	DVBPETFXQYSHLJ-UHFFFAOYSA-N	InChI=1S/C11H10O5/c1-14-10-6-3-4-9(13)16-8(6)5-7(12)11(10)15-2/h3-5,12H,1-2H3	COc1c(O)cc2oc(=O)ccc2c1OC	C11H10O5	nan	222.05282342	Umckalin	DVBPETFXQYSHLJ	Shikimates and Phenylpropanoids	Coumarins	Simple coumarins	http://www.wikidata.org/entity/Q2718990	Diatenopteryx sorbifolia	180177.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Sapindaceae']	['Paullinieae']	['Diatenopteryx']	['Diatenopteryx sorbifolia']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	nan	nan	nan	nan	5	0	8.175921440124512	1	-1	nan	nan	nan	nan	nan	nan
958	3837	2.0	0.720064	ISDB	http://www.wikidata.org/entity/Q104195564	PYQJYHACQOBZLF-UHFFFAOYSA-N	InChI=1S/C14H16N2O3/c17-10-7-12-13(18)15-11(14(19)16(12)8-10)6-9-4-2-1-3-5-9/h1-5,10-12,17H,6-8H2,(H,15,18)	O=C1NC(Cc2ccccc2)C(=O)N2CC(O)CC12	C14H16N2O3	nan	260.116092372	Cyclo(Phe-Hpro)	PYQJYHACQOBZLF	Amino acids and Peptides	Small peptides	Dipeptides	http://www.wikidata.org/entity/Q134359	Aspergillus fumigatus	278828.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Eurotiomycetes']	['Eurotiales']	['Trichocomaceae']	['Unknown']	['Aspergillus']	['Aspergillus fumigatus']	nan	['Eukaryota']	nan	nan	nan	nan	nan	nan	nan	nan	1	0	3.880255937576294	1	-1	nan	nan	nan	nan	nan	nan
959	3838	1.0	0.70251364	ISDB	http://www.wikidata.org/entity/Q104991357	DYFXKQIZAHPOSD-NEDUEBAWSA-N	InChI=1S/C19H32O3/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(20)19(21)22-2/h4-5,7-8,10-11,18,20H,3,6,9,12-17H2,1-2H3/b5-4-,8-7-,11-10-/t18-/m1/s1	CC/C=C\C/C=C\C/C=C\CCCCCC[C@@H](O)C(=O)OC	C19H32O3	nan	308.235144884	methyl (2R,9Z,12Z,15Z)-2-hydroxyoctadeca-9,12,15-trienoate	DYFXKQIZAHPOSD	Fatty acids	Octadecanoids	Other Octadecanoids	http://www.wikidata.org/entity/Q769865	Salvia nilotica	861976.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Lamiales']	['Lamiaceae']	['Mentheae']	['Salvia']	['Salvia nilotica']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	nan	nan	nan	nan	nan	4	0	6.810054779052734	1	-1	nan	nan	nan	nan	nan	nan
960	3839	4.0	0.58082205	ISDB	http://www.wikidata.org/entity/Q110193840	QUEOJKXOXRGXOG-IRXDYDNUSA-N	InChI=1S/C18H32O4/c1-2-3-4-10-13-16(19)17(20)14-11-8-6-5-7-9-12-15-18(21)22/h6,8,11,14,16-17,19-20H,2-5,7,9-10,12-13,15H2,1H3,(H,21,22)/t16-,17-/m0/s1	CCCCCC[C@H](O)[C@@H](O)C=CC=CCCCCCC(=O)O	C18H32O4	nan	312.230059504	(11S,12S)-11,12-dihydroxyoctadeca-7,9-dienoic acid	QUEOJKXOXRGXOG	Fatty acids	Eicosanoids	Hydroxy-hydroperoxyeicosatrienoic acids	http://www.wikidata.org/entity/Q212547	Isatis tinctoria	631500.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Isatideae']	['Isatis']	['Isatis tinctoria']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	nan	nan	nan	nan	nan	4	0	6.3232879638671875	1	-1	nan	nan	nan	nan	nan	nan
961	384	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q115947212	OZNHATCGPKOFBH-UHFFFAOYSA-N	InChI=1S/C15H24O/c1-9-5-8-15-11(9)12-10(13(12,2)3)6-7-14(15,4)16-15/h9-12H,5-8H2,1-4H3	CC1CCC23OC2(C)CCC2C(C13)C2(C)C	C15H24O	pos_1_minus1proton1iron	220.182715388	Ledene oxide-(I)	OZNHATCGPKOFBH	Terpenoids	Sesquiterpenoids	Aromadendrane sesquiterpenoids	http://www.wikidata.org/entity/Q3919027	Mangifera indica	807634.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	['Unknown']	['Mangifera']	['Mangifera indica']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	nan	nan	nan	6	3	7.5	1	807	Shikimates and Phenylpropanoids	1.0	Sesquiterpenoids	1.0	Aromadendrane sesquiterpenoids	1.0
962	3840	14.0	0.49708095	ISDB	http://www.wikidata.org/entity/Q105274681	UKMBKJYRCZVQFL-AFJQJTPPSA-N	InChI=1S/C22H32O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-20-17-21(23)19(2)22(24)18-20/h3,5-6,8-9,17-18,23-24H,1,4,7,10-16H2,2H3/b6-5-,9-8-	C=CC/C=C\C/C=C\CCCCCCCc1cc(O)c(C)c(O)c1	C22H32O2	nan	328.240230264	2-methyl-5-(8Z,11Z)-8,11,14-pentadecatrienyl-1,3-benzenediol	UKMBKJYRCZVQFL	Polyketides	Aromatic polyketides	Catechols with side chains	http://www.wikidata.org/entity/Q34007	Anacardium occidentale	999426.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	['Unknown']	['Anacardium']	['Anacardium occidentale']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	nan	nan	nan	6	0	7.98832368850708	1	30	Terpenoids	0.9090909090909091	Triterpenoids	0.7272727272727273	Cycloartane triterpenoids	0.5
963	3841	3.0	0.27825543	ISDB	http://www.wikidata.org/entity/Q105004330	FXVRSKPFWVYCPN-UHFFFAOYSA-N	InChI=1S/C12H8O6/c13-6-2-1-4-8-5(12(17)18-11(4)6)3-7(14)9(15)10(8)16/h3,14-16H,1-2H2	O=C1CCc2c1oc(=O)c1cc(O)c(O)c(O)c21	C12H8O6	nan	248.03208797599999	Brevifolin[Geranium]	FXVRSKPFWVYCPN	Shikimates and Phenylpropanoids	Coumarins	Isocoumarins	http://www.wikidata.org/entity/Q5157337	Canarium album	146994.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Burseraceae']	['Unknown']	['Canarium']	['Canarium album']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	nan	nan	nan	nan	5	3	7.6130218505859375	1	1014	Polyketides	1.0	Coumarins	0.5	Isocoumarins	0.5
964	3842	1.0|1.0|1.0|1.0	0.0|0.0|0.0|0.0	MS1_match|MS1_match|MS1_match|MS1_match	http://www.wikidata.org/entity/Q105266001|http://www.wikidata.org/entity/Q105149670|http://www.wikidata.org/entity/Q105158002|http://www.wikidata.org/entity/Q105135943	TWQAEQHXLKHMEH-UHFFFAOYSA-N|LBWBDHYIXVJYGM-UHFFFAOYSA-N|LVRAXWJEAFZMBP-UHFFFAOYSA-N|JVTJXLKMWGQUTD-UHFFFAOYSA-N	InChI=1S/C24H34O2/c25-23-19-18-22(20-24(23)26)17-11-8-6-4-2-1-3-5-7-10-14-21-15-12-9-13-16-21/h9,12-13,15-16,18-20,25-26H,1-8,10-11,14,17H2|InChI=1S/C24H34O2/c25-23-18-22(19-24(26)20-23)17-11-8-6-4-2-1-3-5-7-10-14-21-15-12-9-13-16-21/h9,12-13,15-16,18-20,25-26H,1-8,10-11,14,17H2|InChI=1S/C24H34O2/c1-25-23-20-14-19-22(24(23)26-2)18-13-8-6-4-3-5-7-10-15-21-16-11-9-12-17-21/h9,11-12,14,16-17,19-20H,3-8,10,13,15,18H2,1-2H3|InChI=1S/C24H34O2/c25-23-20-14-19-22(24(23)26)18-13-8-6-4-2-1-3-5-7-10-15-21-16-11-9-12-17-21/h9,11-12,14,16-17,19-20,25-26H,1-8,10,13,15,18H2	Oc1ccc(CCCCCCCCCCCCc2ccccc2)cc1O|Oc1cc(O)cc(CCCCCCCCCCCCc2ccccc2)c1|COc1cccc(CCCCCCCCCCc2ccccc2)c1OC|Oc1cccc(CCCCCCCCCCCCc2ccccc2)c1O	C24H34O2|C24H34O2|C24H34O2|C24H34O2	pos_1_minus1proton1iron|pos_1_minus1proton1iron|pos_1_minus1proton1iron|pos_1_minus1proton1iron	354.25588032800005|354.25588032800005|354.25588032800005|354.25588032800005	4-(12-Phenyldodecyl)-1,2-benzenediol|5-(12-Phenyldodecyl)benzene-1,3-diol|1,2-Dimethoxy-3-(10-phenyldecyl)benzene|3-(12-Phenyldodecyl)catechol	TWQAEQHXLKHMEH|LBWBDHYIXVJYGM|LVRAXWJEAFZMBP|JVTJXLKMWGQUTD	Polyketides|Polyketides|Polyketides|Polyketides	Aromatic polyketides|Aromatic polyketides|Aromatic polyketides|Aromatic polyketides	Catechols with side chains|Catechols with side chains|Catechols with side chains|Catechols with side chains	http://www.wikidata.org/entity/Q15545369|http://www.wikidata.org/entity/Q15545369|http://www.wikidata.org/entity/Q15545369|http://www.wikidata.org/entity/Q15545369	Gluta usitata|Gluta usitata|Gluta usitata|Gluta usitata	3942367.0|3942367.0|3942367.0|3942367.0	['Eukaryota']|['Eukaryota']|['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']|['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']|['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']	['Sapindales']|['Sapindales']|['Sapindales']|['Sapindales']	['Anacardiaceae']|['Anacardiaceae']|['Anacardiaceae']|['Anacardiaceae']	['Unknown']|['Unknown']|['Unknown']|['Unknown']	['Gluta']|['Gluta']|['Gluta']|['Gluta']	['Gluta usitata']|['Gluta usitata']|['Gluta usitata']|['Gluta usitata']	nan|nan|nan|nan	['Eukaryota']|['Eukaryota']|['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']|['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']|['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']	['Sapindales']|['Sapindales']|['Sapindales']|['Sapindales']	['Anacardiaceae']|['Anacardiaceae']|['Anacardiaceae']|['Anacardiaceae']	nan|nan|nan|nan	nan|nan|nan|nan	nan|nan|nan|nan	6|6|6|6	3|3|3|3	7.5|7.5|7.5|7.5	1|1|1|1	24	Polyketides	0.5	Aromatic polyketides	0.5	Catechols with side chains	0.5
