CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
3571	4307	5	0.9216	54.045
2922	4670	5	0.8492	0.000
115	2754	5	0.8497	26.016
2159	3414	5	0.9371	14.016
2055	2574	5	0.9353	14.017
2159	3135	5	0.9381	-33.984
2978	3180	5	0.8548	-38.052
1909	2754	5	0.8904	26.016
1772	2885	5	0.825	-18.011
2643	3490	5	0.8622	17.015
2574	3066	5	0.9333	-33.985
2885	4845	5	0.848	0.000
3135	3407	5	0.8741	56.063
644	4071	5	0.8338	14.016
205	4307	5	0.8921	26.013
205	3054	5	0.9163	15.995
886	4298	5	0.8674	36.036
2275	2292	5	0.8615	-48.000
3066	3135	5	0.9694	26.016
4051	4350	5	0.8274	-32.026
2080	3985	5	0.8362	-13.979
1132	3929	5	0.8329	0.000
644	3412	5	0.9128	-17.027
2353	2930	5	0.9405	-26.015
2118	3973	5	0.8549	-0.036
1345	2759	5	0.8707	-26.017
2813	3675	5	0.9424	28.031
3054	3066	5	0.967	-28.031
2275	3414	5	0.8594	-28.031
3123	3256	5	0.9515	-33.984
1909	3123	5	0.9519	-14.015
2557	3681	5	0.9026	26.016
886	3973	5	0.8875	36.000
151	1676	6	0.7276	-18.010
151	2830	6	0.8381	30.011
28	2830	6	0.7106	18.010
2830	4183	6	0.8975	0.000
2305	4183	6	0.8371	18.011
2305	2830	6	0.8098	18.011
28	2305	6	0.8238	-0.001
1676	2305	6	0.8504	30.010
28	1676	6	0.7748	-30.011
28	4183	6	0.7052	18.010
151	4183	6	0.8628	30.011
3867	4050	8	0.7893	18.011
2626	4327	8	0.7856	2.016
2077	4050	8	0.7923	37.979
1728	3867	8	0.931	-0.000
2626	4050	8	0.8837	0.000
3477	4909	9	0.8313	-18.010
1263	4909	9	0.8242	0.000
1263	1395	9	0.7813	-30.010
1263	3477	9	0.7496	18.011
3439	4756	10	0.8438	14.016
3881	4485	10	0.8473	28.031
3996	4485	10	0.8591	14.016
3881	4617	10	0.8469	28.031
3002	3996	10	0.8809	-14.016
4485	4617	10	0.904	0.000
3002	3439	10	0.8777	-132.043
3881	3996	10	0.8486	14.016
3002	4617	10	0.9526	0.000
3996	4617	10	0.8871	14.016
3439	4617	10	0.8781	132.043
3896	4253	11	0.8044	9.038
3435	4771	12	0.911	0.165
3435	4773	12	0.8004	0.165
1433	4642	13	0.8344	-262.231
172	4642	13	0.8358	-336.276
3748	3825	13	0.9357	2.016
225	3748	13	0.9107	2.016
1152	3204	13	0.7841	-14.016
1433	3971	13	0.8379	-266.262
3971	4271	13	0.9506	28.031
693	4009	13	0.9516	254.224
3204	4642	13	0.9352	-9.984
172	1888	13	0.8284	-338.292
172	225	13	0.8059	-360.274
1888	3971	13	0.9489	-2.016
1888	4642	13	0.9653	2.016
3204	4271	13	0.9385	14.016
225	3825	13	0.9263	4.031
4009	4783	13	0.8114	-0.000
4009	4642	13	0.8148	-2.016
1433	4783	13	0.8324	-260.215
3204	3971	13	0.9397	-14.015
3204	4783	13	0.9353	-7.969
1152	4642	13	0.8102	-24.000
1888	4783	13	0.9653	4.031
2548	3825	13	0.9265	-21.985
3971	4009	13	0.7999	6.047
1433	3825	13	0.7965	-282.197
1034	3748	13	0.7539	-321.136
172	4271	13	0.8318	-312.276
1433	1888	13	0.8372	-264.246
144	460	13	0.933	-2.016
4271	4642	13	0.9537	-24.000
1152	4271	13	0.802	0.000
4271	4783	13	0.9546	-21.985
4642	4783	13	0.9612	2.015
1152	4009	13	0.9719	-21.984
1537	3825	13	0.7927	-6.010
2548	3748	13	0.9268	-24.000
144	4271	13	0.8011	23.999
172	1034	13	0.7686	-37.122
460	4009	13	0.9405	4.031
172	2548	13	0.7966	-334.258
460	4783	13	0.7687	4.031
693	1152	13	0.9515	276.209
144	4783	13	0.8058	2.015
3971	4642	13	0.9503	4.031
460	3204	13	0.7633	12.000
1537	2548	13	0.7739	15.975
1152	1888	13	0.8092	-26.016
144	4009	13	0.9648	2.015
1888	4009	13	0.8129	4.031
1888	4271	13	0.9556	26.016
1152	3971	13	0.8008	-28.031
3204	4009	13	0.7867	-7.968
225	1433	13	0.7906	286.228
144	3971	13	0.7935	-4.032
1433	3204	13	0.847	-252.247
172	3971	13	0.8392	-340.307
1888	3204	13	0.9396	12.000
144	1888	13	0.8032	-2.016
172	3748	13	0.7903	-358.258
225	1537	13	0.7883	10.041
460	693	13	0.9355	-250.193
3748	4631	13	0.7717	321.280
225	2006	13	0.8159	-13.959
3971	4783	13	0.9429	6.047
1433	4271	13	0.8372	-238.231
144	3204	13	0.781	9.983
1537	3748	13	0.7997	-8.025
225	2548	13	0.9167	26.016
1152	4783	13	0.8029	-21.984
4009	4271	13	0.8102	21.984
460	1152	13	0.9441	26.016
1433	2548	13	0.7804	-260.213
144	693	13	0.9408	-252.209
144	4642	13	0.8074	-0.000
144	1152	13	0.9655	23.999
1433	3748	13	0.7967	-284.213
777	4370	14	0.7996	-14.016
4256	4897	15	0.7222	2.014
2430	4897	15	0.7369	17.027
4897	4911	15	0.8757	-0.000
4256	4911	15	0.7332	2.014
2084	4135	18	0.8796	17.026
541	3642	18	0.777	-15.994
1799	2182	18	0.8979	15.995
116	1594	18	0.9205	0.000
1594	2905	18	0.8201	-0.000
3579	3697	18	0.8661	-0.000
1799	2320	18	0.7857	15.995
