row ID,row m/z,row retention time,20230323T141609Z_ED_QC_anacardia.mzML Peak area,20230323T141609Z_ED_QC_anacardia_20230324155859.mzML Peak area,20230323T141609Z_ED_STG-01-01C_20230324164641.mzML Peak area,20230323T141609Z_ED_STG-01-02C_20230324170235.mzML Peak area,20230323T141609Z_ED_STG-01-03C_20230324171828.mzML Peak area,20230323T141609Z_ED_STG-01-04C.mzML Peak area,20230323T141609Z_ED_STG-01-05C.mzML Peak area,20230323T141609Z_ED_STG-01-06C.mzML Peak area,20230323T141609Z_ED_STG-01-07C.mzML Peak area,20230323T141609Z_ED_STG-01-08C.mzML Peak area,20230323T141609Z_ED_STG-01-09C.mzML Peak area,20230323T141609Z_ED_STG-01-10C.mzML Peak area,20230323T141609Z_ED_STG-01-11C.mzML Peak area,20230323T141609Z_ED_STG-01-12C.mzML Peak area,20230323T141609Z_ED_STG-01-13C.mzML Peak area,20230323T141609Z_ED_STG-01-14C.mzML Peak area,20230323T141609Z_ED_STG-01-15C.mzML Peak area,20230323T141609Z_ED_STG-01-16C.mzML Peak area,20230323T141609Z_ED_STG-01-17C.mzML Peak area,20230323T141609Z_ED_STG-01-18C.mzML Peak area,20230323T141609Z_ED_STG-01-19C.mzML Peak area,20230323T141609Z_ED_STG-01-20C.mzML Peak area,20230323T141609Z_ED_STG-01-21C.mzML Peak area,20230323T141609Z_ED_STG-01-22C.mzML Peak area,20230323T141609Z_ED_blank1_20230324121613.mzML Peak area,20230323T141609Z_ED_blank1_20230324152037.mzML Peak area,20230323T141609Z_ED_blank1_20230325045643.mzML Peak area,Unnamed: 30
1,460.29032948855337,4.132253853333334,23599.156388690768,54152.0421584036,14460.789141144895,0.0,12439.667670697874,1617.5337330952118,1707.632731317688,0.0,6817.201409505656,0.0,0.0,14638.784779712654,32113.320850218814,1243506.037146458,7753.71463643991,58027.905743368225,0.0,0.0,56226.42109769653,0.0,0.0,34702.189654404414,0.0,0.0,0.0,1433.486679026692,0.0,
2,270.20602643081946,5.680580707407408,25230.31650479992,69203.47658949338,7398.136744529299,7285.4877474174855,10338.945347670802,7389.022239786032,8994.933460047474,13233.24682132027,8167.4115456094105,6035.381837374551,9857.862112232011,26322.88618297124,353932.24784117326,690939.9533164938,64268.703115052595,69030.00971784978,15720.573459179268,34404.13818902679,11131.827015610865,6835.136338712417,8679.502155087896,45130.21058539323,21462.17801916844,38529.67766818331,22150.88099512811,4522.086303848864,5125.0304082525145,
3,409.1836440474898,10.227842851851854,604510.1495969313,1241292.1491741852,620294.4638778546,566369.4686881095,576953.3747177385,560949.4929376139,571662.881941056,603812.3147553565,570727.2806391906,665263.5554313315,558731.773852725,589318.0698089097,595679.9847953853,634467.3456725288,731504.4257906288,531240.1671714826,538252.9579803508,623609.1268102751,559219.6638636283,573552.2342518348,618364.0851837763,615690.0586464871,603519.1964648347,551376.9937576051,591485.4611090607,583420.6720841103,565596.469143047,
4,280.2636085792824,8.039099996296297,59905.48103215407,190572.41497539642,216630.31965669995,307882.4012927552,344266.881539615,417219.5508027798,284372.23622853396,248033.58200437852,256500.7939098718,474010.72244646,254681.54860893823,107355.71783934088,242741.6175769757,529907.6046266516,324163.76737380767,48214.9744590228,53340.02536340794,219851.42361306032,35130.757015395226,252022.37101333844,95159.44695286735,350975.6037516684,97101.63878259242,191452.67070642347,133653.86011989394,182823.3282786708,233540.6205089452,
5,316.24799930404663,3.640272141176471,427672.62053759815,1214631.386147575,1111.9342622973063,0.0,0.0,2091.639691927743,0.0,4547.216449995074,20367.306707859352,0.0,0.0,39067.96823086973,26922.993856974586,37325.68753057472,61161.47611168506,3469857.608156248,67801.502954446,32967.24599872831,17124.901660450007,0.0,0.0,59227.203121298124,0.0,7258.067453936786,0.0,0.0,2433.321443734893,
6,466.2650773794895,4.32476826111111,11612.270460035226,68414.9779539836,28628.530936329917,0.0,0.0,1863.4344939821979,21607.09378445188,4449.928679230077,75213.45533346545,24116.8797929711,0.0,170600.4085689362,51362.83508988571,11580.786909086404,33931.57457280493,0.0,3085.6817966972526,0.0,1680950.1845221187,0.0,3418.222576570685,23032.452772357152,12847.482876760281,19081.164677647,0.0,0.0,0.0,
7,771.2830200195312,3.4188157666666665,0.0,0.0,0.0,0.0,0.0,123412.49890617256,0.0,863.1338949140143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493809.84458747366,0.0,0.0,0.0,0.0,0.0,
8,475.17814254760737,2.1305357000000003,14836.028447972112,81796.6566668321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121485.5382697136,0.0,0.0,0.0,0.0,0.0,638940.8089405285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9,435.19898478238434,4.059362283333333,10057.56166166729,41516.362594089886,8681.531601256418,0.0,16689.5412150455,1479.0251608029846,0.0,0.0,0.0,0.0,0.0,0.0,48932.13524397542,769589.1492131486,4543.24188108031,38772.28372354442,1403.6026499354587,0.0,8345.124556244979,0.0,0.0,11792.24472617129,0.0,0.0,0.0,0.0,0.0,
10,375.2372741710871,3.4032318545454547,45214.143417899904,115487.64997183319,123340.92523480805,0.0,0.0,4203.615531968191,0.0,0.0,0.0,0.0,0.0,157798.0732528959,5533.63090981792,3325.786300040787,58275.20981165327,0.0,0.0,0.0,2968818.7952711917,0.0,2036.5388328944603,51161.74138055628,0.0,0.0,0.0,0.0,0.0,
