CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
2673	4641	10	0.9257	-44.026
1651	4516	10	0.7724	345.325
1315	2708	10	0.8968	88.053
653	4776	10	0.9117	28.031
3111	3986	10	0.7791	28.031
336	2064	10	0.7671	176.104
2566	4862	10	0.8933	-88.053
492	653	10	0.7987	-132.079
2582	2705	10	0.8902	-132.078
1623	2064	10	0.7731	-12.037
3163	3784	10	0.8824	-88.053
2384	4515	10	0.8139	-177.136
1004	1993	10	0.7907	44.026
653	1993	10	0.8551	88.053
2708	3584	10	0.9071	17.027
1509	4839	10	0.7984	-88.053
1509	3921	10	0.843	44.026
904	1623	10	0.7673	232.168
1671	3566	10	0.8558	-44.026
2123	2217	10	0.8623	264.157
2217	2705	10	0.8944	44.026
3951	4101	10	0.9539	44.026
1671	4069	10	0.7944	168.188
1645	1815	10	0.8129	-44.026
2865	3815	10	0.7268	-176.105
1396	4876	10	0.9164	-88.052
3784	4862	10	0.9346	-14.016
3584	4069	10	0.8396	123.130
2558	3718	10	0.8415	-213.246
1224	1959	10	0.7925	-264.159
2910	4641	10	0.8638	14.016
3922	4876	10	0.9032	-44.026
2910	4839	10	0.7788	168.188
3922	3951	10	0.9072	-88.052
1315	3712	10	0.8534	168.188
4641	4827	10	0.8596	132.079
818	1993	10	0.839	-28.031
1409	4069	10	0.7721	88.052
2123	4091	10	0.8455	220.131
336	904	10	0.8817	-44.026
2942	4101	10	0.8888	176.105
1509	3711	10	0.8007	-176.105
556	1651	10	0.8525	-14.015
1409	4839	10	0.8247	-44.026
2582	4101	10	0.9156	132.079
468	4839	10	0.7853	44.026
1105	1651	10	0.8257	44.026
2566	4827	10	0.9044	-44.026
1396	3784	10	0.882	-168.188
2731	3951	10	0.8875	168.188
1105	2910	10	0.8278	88.053
336	1815	10	0.8834	44.026
1629	3711	10	0.8426	154.172
1004	1725	10	0.8171	28.031
3566	4862	10	0.9146	14.015
4091	4549	10	0.8389	-132.078
211	1815	10	0.7574	-88.052
3711	3921	10	0.7501	220.131
1409	3921	10	0.7932	88.052
556	2673	10	0.9182	88.053
3743	4091	10	0.8237	177.138
492	1993	10	0.7625	-44.026
904	2064	10	0.7614	220.131
2705	3953	10	0.9201	44.026
818	3111	10	0.8612	44.027
2673	3718	10	0.9128	-14.016
4827	4862	10	0.9292	-44.026
2726	3743	10	0.8254	-133.111
2558	4091	10	0.8301	-413.262
3396	3661	10	0.815	31.042
1396	4104	10	0.8941	-176.105
26	904	10	0.7676	44.026
2566	2673	10	0.8594	-132.079
2683	4876	10	0.9133	44.026
2558	3953	10	0.8707	-281.184
2942	3951	10	0.9182	132.079
26	336	10	0.8125	88.052
1409	1509	10	0.8495	44.026
1629	2673	10	0.8712	132.079
1315	3922	10	0.8981	168.188
2558	2942	10	0.8646	-237.158
1651	2731	10	0.8567	28.031
2708	3163	10	0.9117	44.027
26	1815	10	0.8138	132.078
2683	2942	10	0.9187	-132.079
818	1623	10	0.8129	-132.079
1142	2236	10	0.8123	-14.016
492	3111	10	0.7706	28.032
1105	3566	10	0.7959	176.105
556	4641	10	0.9205	44.026
211	1645	10	0.7753	-44.027
2865	4839	10	0.8143	-44.027
2683	3922	10	0.9133	88.052
127	1105	10	0.8441	-28.031
127	3711	10	0.7994	140.157
227	3584	10	0.8843	14.016
169	4641	10	0.9216	-14.016
169	4101	10	0.9297	168.188
1396	2683	10	0.9078	-132.078
